"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2018,2018-05-23,54.3479166666667,54.7,5.97635416666667,5.98
2018,2018-05-24,47.775,47,5.9084375,5.9
2018,2018-05-25,41.671875,41.15,5.8409375,5.835
2018,2018-05-26,38.0291666666667,37.4,5.79760416666667,5.79
2018,2018-05-27,36.0385416666667,35.8,5.77270833333333,5.77
2018,2018-05-28,42.415625,42.5,5.849375,5.85
2018,2018-05-29,42.253125,41.6,5.84760416666667,5.84
2018,2018-05-30,36.3395833333333,35.8,5.77635416666667,5.77
2018,2018-05-31,32.2135416666667,32,5.72260416666667,5.72
2018,2018-06-01,31.3979166666667,31.3,5.71177083333333,5.71
2018,2018-06-02,33.2916666666667,33.5,5.73739583333333,5.74
2018,2018-06-03,30.1625,29.8,5.6946875,5.69
2018,2018-06-04,75.1739583333333,58.95,6.07208333333333,6.02
2018,2018-06-05,90.0166666666667,83.8,6.2675,6.23
2018,2018-06-06,58.7635416666667,57.8,6.01739583333333,6.01
2018,2018-06-07,43.4489583333333,41.6,5.8603125,5.84
2018,2018-06-08,37.4854166666667,37,5.79083333333333,5.785
2018,2018-06-09,33.1854166666667,32.7,5.73572916666667,5.73
2018,2018-06-10,29.1489583333333,29.1,5.6803125,5.68
2018,2018-06-11,27.675,27.1,5.65822916666667,5.65
2018,2018-06-12,25.6760416666667,25.1,5.62822916666667,5.62
2018,2018-06-13,23.4083333333333,23.3,5.5921875,5.59
2018,2018-06-14,24.3125,24.5,5.606875,5.61
2018,2018-06-15,23.4729166666667,23.3,5.59291666666667,5.59
2018,2018-06-16,22.2239583333333,22.1,5.5725,5.57
2018,2018-06-17,20.4333333333333,20.3,5.54197916666667,5.54
2018,2018-06-18,19.20625,18.7,5.5190625,5.51
2018,2018-06-19,44.2645833333333,47.1,5.8603125,5.9
2018,2018-06-20,31.9177083333333,30,5.713125,5.69
2018,2018-06-21,23.6416666666667,23.5,5.59208333333333,5.59
2018,2018-06-22,20.8447916666667,20.7,5.55322916666667,5.55
2018,2018-06-23,19.0802083333333,19.1,5.51989583333333,5.52
2018,2018-06-24,21.6416666666667,19.7,5.55916666666667,5.53
2018,2018-06-25,39.9166666666667,38.65,5.81489583333333,5.805
2018,2018-06-26,32.7822916666667,31.4,5.72489583333333,5.71
2018,2018-06-27,23.0572916666667,22.8,5.583125,5.58
2018,2018-06-28,373.526041666667,221,7.15583333333333,6.98
