"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","DO","pH","turb","date","time"
"D01","HOPB","102","100",2019-09-23 17:38:00,2019-09-23 17:38:00,9.11,7.06,3.93,2019-09-23,"17:38:00"
"D01","HOPB","102","100",2019-09-23 17:39:00,2019-09-23 17:39:00,9.09,7.06,3.84,2019-09-23,"17:39:00"
"D01","HOPB","102","100",2019-09-23 17:40:00,2019-09-23 17:40:00,9.09,7.06,3.87,2019-09-23,"17:40:00"
"D01","HOPB","102","100",2019-09-23 17:41:00,2019-09-23 17:41:00,9.07,7.06,3.89,2019-09-23,"17:41:00"
"D01","HOPB","102","100",2019-09-23 17:42:00,2019-09-23 17:42:00,9.06,7.06,3.98,2019-09-23,"17:42:00"
"D01","HOPB","102","100",2019-09-23 17:43:00,2019-09-23 17:43:00,9.06,7.06,3.98,2019-09-23,"17:43:00"
"D01","HOPB","102","100",2019-09-23 17:44:00,2019-09-23 17:44:00,9.07,7.06,3.84,2019-09-23,"17:44:00"
"D01","HOPB","102","100",2019-09-23 17:45:00,2019-09-23 17:45:00,9.08,7.06,3.91,2019-09-23,"17:45:00"
"D01","HOPB","102","100",2019-09-23 17:46:00,2019-09-23 17:46:00,9.08,7.06,3.86,2019-09-23,"17:46:00"
"D01","HOPB","102","100",2019-09-23 17:47:00,2019-09-23 17:47:00,9.07,7.06,3.96,2019-09-23,"17:47:00"
"D01","HOPB","102","100",2019-09-23 17:48:00,2019-09-23 17:48:00,9.07,7.06,3.96,2019-09-23,"17:48:00"
"D01","HOPB","102","100",2019-09-23 17:49:00,2019-09-23 17:49:00,9.07,7.06,3.92,2019-09-23,"17:49:00"
"D01","HOPB","102","100",2019-09-23 17:50:00,2019-09-23 17:50:00,9.05,7.06,3.84,2019-09-23,"17:50:00"
"D01","HOPB","102","100",2019-09-23 17:51:00,2019-09-23 17:51:00,9.04,7.06,3.71,2019-09-23,"17:51:00"
"D01","HOPB","102","100",2019-09-23 17:52:00,2019-09-23 17:52:00,9.02,7.06,3.89,2019-09-23,"17:52:00"
"D01","HOPB","102","100",2019-09-23 17:53:00,2019-09-23 17:53:00,9.02,7.06,3.89,2019-09-23,"17:53:00"
"D01","HOPB","102","100",2019-09-23 17:54:00,2019-09-23 17:54:00,9.02,7.06,3.83,2019-09-23,"17:54:00"
"D01","HOPB","102","100",2019-09-23 17:55:00,2019-09-23 17:55:00,9.03,7.06,3.8,2019-09-23,"17:55:00"
"D01","HOPB","102","100",2019-09-23 17:56:00,2019-09-23 17:56:00,9.03,7.06,3.87,2019-09-23,"17:56:00"
"D01","HOPB","102","100",2019-09-23 17:57:00,2019-09-23 17:57:00,9.02,7.06,3.86,2019-09-23,"17:57:00"
"D01","HOPB","102","100",2019-09-23 17:58:00,2019-09-23 17:58:00,9.02,7.06,3.86,2019-09-23,"17:58:00"
"D01","HOPB","102","100",2019-09-23 17:59:00,2019-09-23 17:59:00,9.02,7.06,3.84,2019-09-23,"17:59:00"
"D01","HOPB","102","100",2019-09-23 18:00:00,2019-09-23 18:00:00,9.02,7.06,3.88,2019-09-23,"18:00:00"
"D01","HOPB","102","100",2019-09-23 18:01:00,2019-09-23 18:01:00,9.02,7.06,3.82,2019-09-23,"18:01:00"
"D01","HOPB","102","100",2019-09-23 18:02:00,2019-09-23 18:02:00,9.02,7.06,3.79,2019-09-23,"18:02:00"
"D01","HOPB","102","100",2019-09-23 18:03:00,2019-09-23 18:03:00,9.02,7.06,3.79,2019-09-23,"18:03:00"
"D01","HOPB","102","100",2019-09-23 18:04:00,2019-09-23 18:04:00,9.02,7.06,3.79,2019-09-23,"18:04:00"
"D01","HOPB","102","100",2019-09-23 18:05:00,2019-09-23 18:05:00,9.01,7.06,3.82,2019-09-23,"18:05:00"
"D01","HOPB","102","100",2019-09-23 18:06:00,2019-09-23 18:06:00,9.01,7.06,3.88,2019-09-23,"18:06:00"
"D01","HOPB","102","100",2019-09-23 18:07:00,2019-09-23 18:07:00,8.99,7.06,3.82,2019-09-23,"18:07:00"
"D01","HOPB","102","100",2019-09-23 18:08:00,2019-09-23 18:08:00,8.99,7.06,3.82,2019-09-23,"18:08:00"
