"domainID","siteID","date","year","yday","daily.precip","mon.precip"
"D01","HOPB",2018-09-09,2018,252,1.29,141.45
"D01","HOPB",2018-09-10,2018,253,9.35,133.23
"D01","HOPB",2018-09-11,2018,254,23.62,99.26
"D01","HOPB",2018-09-12,2018,255,1.99,97.41
"D01","HOPB",2018-09-13,2018,256,2.21,88.45
"D01","HOPB",2018-09-14,2018,257,0.85,88.76
"D01","HOPB",2018-09-15,2018,258,0.15,88.42
"D01","HOPB",2018-09-16,2018,259,16.51,103.6
"D01","HOPB",2018-09-17,2018,260,0.44,87.24
"D01","HOPB",2018-09-18,2018,261,65.09,151.42
"D01","HOPB",2018-09-19,2018,262,1.21,151.72
"D01","HOPB",2018-09-20,2018,263,1.02,152.11
"D01","HOPB",2018-09-21,2018,264,0.5,137.2
"D01","HOPB",2018-09-22,2018,265,1.33,137.73
"D01","HOPB",2018-09-23,2018,266,0.86,138.06
"D01","HOPB",2018-09-24,2018,267,1.11,137.95
"D01","HOPB",2018-09-25,2018,268,28.01,164.83
"D01","HOPB",2018-09-26,2018,269,1.22,165.08
"D01","HOPB",2018-09-27,2018,270,27.87,192.42
"D01","HOPB",2018-09-28,2018,271,4.6,196.32
"D01","HOPB",2018-09-29,2018,272,0.47,195.72
"D01","HOPB",2018-09-30,2018,273,0.41,195.42
"D01","HOPB",2018-10-01,2018,274,0.59,195.34
"D01","HOPB",2018-10-02,2018,275,9.67,203.99
"D01","HOPB",2018-10-03,2018,276,9.3,213.15
"D01","HOPB",2018-10-04,2018,277,0.19,212.71
"D01","HOPB",2018-10-05,2018,278,0.28,212.61
"D01","HOPB",2018-10-06,2018,279,0.23,211.37
"D01","HOPB",2018-10-07,2018,280,0.18,211.07
"D01","HOPB",2018-10-08,2018,281,0.14,210.69
"D01","HOPB",2018-10-09,2018,282,0.26,209.66
"D01","HOPB",2018-10-10,2018,283,0.48,200.79
"D01","HOPB",2018-10-11,2018,284,25.22,202.39
"D01","HOPB",2018-10-12,2018,285,0.82,201.22
"D01","HOPB",2018-10-13,2018,286,1.67,200.68
"D01","HOPB",2018-10-14,2018,287,0.77,200.6
"D01","HOPB",2018-10-15,2018,288,3.31,203.76
"D01","HOPB",2018-10-16,2018,289,4.28,191.53
"D01","HOPB",2018-10-17,2018,290,0.82,191.91
"D01","HOPB",2018-10-18,2018,291,0.67,127.49
"D01","HOPB",2018-10-19,2018,292,1.12,127.4
"D01","HOPB",2018-10-20,2018,293,0.55,126.93
"D01","HOPB",2018-10-21,2018,294,0.76,127.19
"D01","HOPB",2018-10-22,2018,295,0.84,126.7
"D01","HOPB",2018-10-23,2018,296,3.15,128.99
"D01","HOPB",2018-10-24,2018,297,0.34,128.22
"D01","HOPB",2018-10-25,2018,298,0.33,100.54
"D01","HOPB",2018-10-26,2018,299,0.76,100.08
"D01","HOPB",2018-10-27,2018,300,7.11,79.32
"D01","HOPB",2018-10-28,2018,301,0.29,75.01
"D01","HOPB",2018-10-29,2018,302,3.91,78.45
"D01","HOPB",2018-10-30,2018,303,0.35,78.39
"D01","HOPB",2018-10-31,2018,304,0.27,78.07
"D01","HOPB",2018-11-01,2018,305,1.85,70.25
"D01","HOPB",2018-11-02,2018,306,7.47,68.42
"D01","HOPB",2018-11-03,2018,307,18.7,86.93
"D01","HOPB",2018-11-04,2018,308,0.47,87.12
"D01","HOPB",2018-11-05,2018,309,0.37,87.26
"D01","HOPB",2018-11-06,2018,310,12.01,99.09
"D01","HOPB",2018-11-07,2018,311,0.85,99.8
"D01","HOPB",2018-11-08,2018,312,0.65,100.19
"D01","HOPB",2018-11-09,2018,313,1.79,101.5
"D01","HOPB",2018-11-10,2018,314,11.62,87.9
"D01","HOPB",2018-11-11,2018,315,0.61,87.69
"D01","HOPB",2018-11-12,2018,316,0.46,86.48
"D01","HOPB",2018-11-13,2018,317,16.88,102.59
"D01","HOPB",2018-11-14,2018,318,0.38,99.66
"D01","HOPB",2018-11-15,2018,319,0.36,95.74
"D01","HOPB",2018-11-16,2018,320,12.02,106.94
"D01","HOPB",2018-11-17,2018,321,0.51,106.78
"D01","HOPB",2018-11-18,2018,322,0.29,105.95
"D01","HOPB",2018-11-19,2018,323,2.74,108.14
"D01","HOPB",2018-11-20,2018,324,3.39,110.77
"D01","HOPB",2018-11-21,2018,325,0.8,110.73
"D01","HOPB",2018-11-22,2018,326,0.51,108.09
"D01","HOPB",2018-11-23,2018,327,0.25,108
"D01","HOPB",2018-11-24,2018,328,0.47,108.14
"D01","HOPB",2018-11-25,2018,329,0.51,107.89
"D01","HOPB",2018-11-26,2018,330,5.08,105.86
"D01","HOPB",2018-11-27,2018,331,7.22,112.79
"D01","HOPB",2018-11-28,2018,332,0.3,109.18
"D01","HOPB",2018-11-29,2018,333,0.3,109.13
"D01","HOPB",2018-11-30,2018,334,0.13,108.99
"D01","HOPB",2018-12-01,2018,335,0.21,107.35
"D01","HOPB",2018-12-02,2018,336,9.6,109.48
"D01","HOPB",2018-12-03,2018,337,0.1,90.88
"D01","HOPB",2018-12-04,2018,338,0.11,90.52
"D01","HOPB",2018-12-05,2018,339,0.35,90.5
"D01","HOPB",2018-12-06,2018,340,0.64,79.13
"D01","HOPB",2018-12-07,2018,341,0.56,78.84
"D01","HOPB",2018-12-08,2018,342,0.36,78.55
"D01","HOPB",2018-12-09,2018,343,0.54,77.3
"D01","HOPB",2018-12-10,2018,344,0.5,66.18
"D01","HOPB",2018-12-11,2018,345,0.41,65.98
"D01","HOPB",2018-12-12,2018,346,0.44,65.96
"D01","HOPB",2018-12-13,2018,347,0.24,49.32
"D01","HOPB",2018-12-14,2018,348,0.3,49.24
"D01","HOPB",2018-12-15,2018,349,0.25,49.13
"D01","HOPB",2018-12-16,2018,350,0.13,37.24
"D01","HOPB",2018-12-17,2018,351,6.32,43.05
"D01","HOPB",2018-12-18,2018,352,0.52,43.28
"D01","HOPB",2018-12-19,2018,353,0.17,40.71
"D01","HOPB",2018-12-20,2018,354,0.34,37.66
"D01","HOPB",2018-12-21,2018,355,25.05,61.91
"D01","HOPB",2018-12-22,2018,356,1.2,62.6
"D01","HOPB",2018-12-23,2018,357,0.81,63.16
"D01","HOPB",2018-12-24,2018,358,0.25,62.94
"D01","HOPB",2018-12-25,2018,359,0.34,62.77
"D01","HOPB",2018-12-26,2018,360,0.33,58.02
"D01","HOPB",2018-12-27,2018,361,0.69,51.49
"D01","HOPB",2018-12-28,2018,362,6.65,57.84
"D01","HOPB",2018-12-29,2018,363,0.41,57.95
"D01","HOPB",2018-12-30,2018,364,0.74,58.56
"D01","HOPB",2018-12-31,2018,365,0.22,58.57
"D01","HOPB",2019-01-01,2019,1,9.59,NA
"D01","HOPB",2019-01-02,2019,2,0.55,NA
"D01","HOPB",2019-01-03,2019,3,0.6,NA
"D01","HOPB",2019-01-04,2019,4,0.62,NA
"D01","HOPB",2019-01-05,2019,5,1.11,NA
"D01","HOPB",2019-01-06,2019,6,0.57,NA
"D01","HOPB",2019-01-07,2019,7,0.55,NA
"D01","HOPB",2019-01-08,2019,8,0.87,NA
"D01","HOPB",2019-01-09,2019,9,4.31,NA
"D01","HOPB",2019-01-10,2019,10,0.24,NA
"D01","HOPB",2019-01-11,2019,11,0.79,NA
"D01","HOPB",2019-01-12,2019,12,0.58,NA
"D01","HOPB",2019-01-13,2019,13,0.37,NA
