"date","DO","siteID"
2019-09-16,9.45,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.47,"HOPB"
2019-09-16,9.47,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.44,"HOPB"
2019-09-16,9.45,"HOPB"
2019-09-16,9.45,"HOPB"
2019-09-16,9.48,"HOPB"
2019-09-16,9.43,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.43,"HOPB"
2019-09-16,9.45,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.46,"HOPB"
2019-09-16,9.43,"HOPB"
2019-09-16,9.42,"HOPB"
2019-09-17,9.96,"HOPB"
2019-09-17,9.96,"HOPB"
2019-09-17,9.96,"HOPB"
2019-09-17,9.96,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.92,"HOPB"
2019-09-17,9.94,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.95,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.93,"HOPB"
2019-09-17,9.93,"HOPB"
2019-09-17,9.93,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.91,"HOPB"
2019-09-17,9.91,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.9,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.85,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,NA,"HOPB"
2019-09-17,0.61,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.89,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.88,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-23,9.15,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.17,"HOPB"
2019-09-23,9.17,"HOPB"
2019-09-23,9.17,"HOPB"
2019-09-23,9.16,"HOPB"
2019-09-23,9.09,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.14,"HOPB"
2019-09-23,9.12,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.12,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.1,"HOPB"
2019-09-23,9.1,"HOPB"
2019-09-23,9.1,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.09,"HOPB"
2019-09-23,9.09,"HOPB"
2019-09-23,9.05,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.05,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.03,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.13,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.08,"HOPB"
2019-09-23,9.01,"HOPB"
2019-09-23,9.06,"HOPB"
2019-09-23,9.06,"HOPB"
2019-09-23,9.03,"HOPB"
2019-09-23,9.06,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.03,"HOPB"
2019-09-23,8.97,"HOPB"
2019-09-23,8.89,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.88,"HOPB"
2019-09-23,8.85,"HOPB"
2019-09-23,8.93,"HOPB"
2019-09-23,8.93,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.86,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.92,"HOPB"
2019-09-23,8.95,"HOPB"
2019-09-24,9.19,"HOPB"
2019-09-24,9.2,"HOPB"
2019-09-24,9.16,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.16,"HOPB"
2019-09-24,9.16,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.14,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.14,"HOPB"
2019-09-24,9.14,"HOPB"
