"date","turb","siteID"
2019-09-16,0.66,"HOPB"
2019-09-16,0.71,"HOPB"
2019-09-16,1.94,"HOPB"
2019-09-16,0.68,"HOPB"
2019-09-16,0.65,"HOPB"
2019-09-16,0.7,"HOPB"
2019-09-16,0.67,"HOPB"
2019-09-16,1.93,"HOPB"
2019-09-16,0.64,"HOPB"
2019-09-16,0.68,"HOPB"
2019-09-16,0.68,"HOPB"
2019-09-16,0.69,"HOPB"
2019-09-16,2.05,"HOPB"
2019-09-16,0.72,"HOPB"
2019-09-16,0.7,"HOPB"
2019-09-16,0.69,"HOPB"
2019-09-16,0.73,"HOPB"
2019-09-16,2.03,"HOPB"
2019-09-16,0.67,"HOPB"
2019-09-16,0.75,"HOPB"
2019-09-16,0.69,"HOPB"
